Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
IPG,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.32770594827893756,-0.3540240929877466,0.18462275373919704,0.15350537283966653,1.775003035334765,-2.3062651582724607,1,0,0.0,-0.5555555555555556,0.01
VLY,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2602802817309336,-0.02736343596945998,0.25990273162389727,-0.07270166599554781,1.0014526592493944,0.3763797650955577,1,1,0.0,-1.1111111111111112,0.12
SLB,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2227857709804242,0.02917647875323921,0.06823082464795635,-0.04179535035860471,3.265177756972883,-0.6980795352330965,1,1,0.0,0.0,0.01
CMCSA,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2524860196454926,-0.2354923787199792,0.04364976880551405,0.02694011933474762,5.784360984143342,-8.741326487601668,1,0,0.0,-0.5555555555555556,0.12
BAX,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.27426512947974485,0.10281104348152417,0.033648313898345945,-0.24641082754360594,8.150932326306755,-0.4172342770259569,1,1,0.0,0.0,0.01
AMD,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.47901899354596555,-0.2298654172349548,0.5610344434203576,-0.3615521553139517,0.8538138774967483,0.6357738817387287,0,1,0.0,-2.2222222222222223,0.12
LEN,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.16663467417784794,-0.16193422373734753,0.04157113755343821,-0.0871853704330995,4.008422284900071,1.857355459212111,1,0,0.0,-0.5555555555555556,0.12
KO,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.0713139649459344,-0.007141104948412602,0.039228790038951175,0.076726669933163,1.8178986625670868,-0.09307200422790739,1,0,0.5555555555555556,-1.1111111111111112,0.12
ITUB,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.5084306780009666,-0.0140629435800419,0.13182642164373895,0.12835742115790888,3.856819229873364,-0.10956081427299225,1,0,0.0,0.0,0.12
CNQ,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.13572857434348357,0.1899396098398674,0.070282466727696,-0.036617495789332453,1.9311868331166215,-5.187127239192619,1,1,0.0,0.0,0.12
TSCO,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.21091219677738587,0.08516271944498843,0.2307122858742377,0.2531775663285924,0.9141784364806435,0.33637545648281497,0,0,0.0,-1.1111111111111112,0.12
VZ,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.1127579686071209,-0.06158518044509918,0.0635843798618595,0.1381080111296475,1.773359571204338,-0.4459204063643109,1,0,0.5555555555555556,-0.5555555555555556,0.12
CVX,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.07225734428328531,-0.007916743727720705,0.05807398494764238,0.08451925887665392,1.2442291388894733,-0.09366792649323011,1,0,0.5555555555555556,-0.5555555555555556,0.12
KR,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.06478145308986372,0.0191524926317094,0.0682866642502543,0.04268014589813923,0.9486691699049052,0.44874477883507913,0,0,0.5555555555555556,-1.1111111111111112,0.12
AZN,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.0364202799516287,-0.06723705493284829,0.023018869307623542,0.17655197801186845,1.5821923946354215,-0.38083433383186666,1,0,1.6666666666666667,-0.5555555555555556,0.12
T,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.02559253692273679,-0.13526267302256617,0.015247013120751015,0.1164372524599326,1.6785279005174876,-1.1616786738343179,1,0,0.0,0.0,0.12
VALE,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2985624257748066,0.15516572523646677,0.3469736735174175,-0.025462475760550975,0.8604757322022567,-6.093897808510243,0,1,0.0,-1.6666666666666667,0.12
CRM,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.3072474011273225,-0.11202442133412686,0.2944732213511894,0.4609023278300501,1.0433797671568192,-0.24305457918067616,1,0,0.0,-0.5555555555555556,0.12
NFLX,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.4051457999670892,0.28897007916811407,0.44932415955935323,0.7454187088187644,0.9016782012443105,0.38766142538337084,0,0,0.0,-1.1111111111111112,0.23
CDE,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.5842838966545306,-0.21353281097358176,0.23899737373363808,0.5703745185786048,2.444729360523072,-0.3743729847990295,1,0,0.0,0.0,0.12
ERIC,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.1523453918129816,-0.02575262003199521,0.05137984194326236,0.13766027172828338,2.965080974387062,-0.1870737265637994,1,0,2.7777777777777777,-0.5555555555555556,0.12
AES,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.1652437123352913,0.10166232653291812,0.01234631790365134,0.0918942152374943,13.384048072050826,1.1062973471200424,1,1,0.0,0.0,0.12
INFY,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.08015828290508421,-0.12474056152804058,0.0796082341404793,0.0027397987136944923,1.0069094456188323,-45.52909704809434,1,0,0.5555555555555556,-1.1111111111111112,0.12
KEY,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.14340438186715096,-0.1615826093444377,0.13012721666288685,0.09271504541145727,1.1020321923787897,-1.742787361289154,1,0,0.0,-1.1111111111111112,0.12
GSK,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.11181517635538299,-0.017265648454817796,0.05652013183955197,-0.039642990744116605,1.978324761746864,0.43552840314854857,1,1,0.0,0.0,0.12
KGC,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.14701615739915902,-0.15810302610663948,0.05433754593285906,-0.2207948903307301,2.705609075183781,0.7160628847425587,1,1,0.5555555555555556,-1.1111111111111112,0.12
FCX,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.24653986798336067,-0.2969353518093915,0.08341682573491428,0.26659521487084664,2.955517256995922,-1.1138060071829996,1,0,0.0,0.0,0.12
AAPL,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.22714531081554615,0.17428374386954573,0.2248144223562486,0.16608597619960752,1.010368055727332,1.0493585783551398,1,1,0.0,0.0,0.12
IAG,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.22421846722036837,-0.04285094832593669,0.25721703096377,0.21612492718422824,0.8717092580543407,-0.19826934766025334,0,0,0.0,-1.1111111111111112,0.12
HBAN,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.118314679644004,0.07171035205517329,0.12571494495913585,0.1374733931119629,0.9411345618650405,0.521630771103249,0,0,0.5555555555555556,-1.1111111111111112,0.12
QCOM,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.1132996231589273,0.05580985947346521,0.08470923746689325,0.20531195303131608,1.3375120181338898,0.2718295678817715,1,0,0.0,-1.1111111111111112,0.12
C,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.021053339609071395,-0.0224313661680174,0.01743473969004465,0.14149257078897673,1.207551129719074,-0.15853387950291564,1,0,0.5555555555555556,-2.2222222222222223,0.12
APH,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.1281057273306161,-0.013362115519103771,0.12635017726178735,0.14548900137677348,1.013894322167759,-0.09184278806409459,1,0,0.0,-0.5555555555555556,0.12
PFE,2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.0811181353078651,0.006372006524616801,0.03035727109118982,0.18404337454679484,2.6721155226435,0.03462230868298199,1,0,1.1111111111111112,-1.6666666666666667,0.12
